"","Донцова 2002 Букет прекрасных дам","Донцова 1999 Дама с коготками","Донцова 2008 Инь, янь и всякая дрянь","Донцова 2012 Клеопатра с парашютом","Донцова 2001 Созвездие жадных псов","Донцова 2003 Микстура от косоглазия","Донцова 2000 Бассейн с крокодилами","Донцова 2000 Спят усталые игрушки","Донцова 2005 Муха в самолёте","Донцова 2006 Безумная кепка Мономаха","Донцова 2007 Зимнее лето весны","Донцова 2017 Астральное тело холостяка","Донцова 2009 Император деревни Гадюкино","Донцова 2010 Страстная ночь в зоопарке","Донцова 2022 Бегемот под майонезом","Донцова 2015 Шуры муры с призраком","Донцова 2011 Тормоза для блудного мужа","Донцова 2019 Бинокль для всевидящего ока","Донцова 2014 Самовар с шампанским","Донцова 2019 Гиблое место в ипотеку","Маринина 2013 Оборванные нити. Том 3","Маринина 2007 Всё не так","Маринина 1995 Смерть ради смерти","Маринина 2000 Седьмая жертва","Маринина 2021 Отдалённые последствия. Том 1","Полякова 2008 Испанская легенда","Полякова 1999 Капкан на спонсора","Полякова 2001 Неопознанный ходячий объект","Полякова 2020 Четыре всадника раздора","Полякова 2012 Я смотрю на тебя издали","Трауб 2012 Замочная скважина","Трауб 2010 Плохая мать","Трауб 2021 Посмотри на меня","Трауб 2016 Продаётся дом с дедушкой","Трауб 2006 Собирайся, мы уезжаем","Устинова 2003 Близкие люди","Устинова 2021 Девчонки, я приехал","Устинова 2008 Жизнь, по слухам, одна!","Устинова 2012 Один день, одна ночь","Устинова 1999 Персональный ангел"
"Маринина 2013 Оборванные нити. Том 3",1.11609819962895,1.17599469982449,1.16916113092957,1.10449693887929,1.22266638780665,1.28227959419016,1.20137135094568,1.16797094505288,1.18772600183161,1.13162441784307,1.28930538035202,1.10440844513909,1.15832658729932,1.12275072204274,1.12913798171163,1.25028913962684,1.22187414328991,1.21303622134485,1.26846220835728,1.15200128533634,0,0.968538610513214,0.79958074046306,0.738949871995988,0.720992826352089,1.09079880359877,1.08917210419622,1.20428939738247,1.11459198240854,1.08391296362387,1.02215306234943,1.00412756126631,1.09139604069545,0.991111538430706,1.15271231608352,1.0526609436747,1.06595806253337,0.877218195057139,1.01828141182734,0.924611196387386
"Маринина 2007 Всё не так",1.28969755044801,1.38472668810204,1.36432139770873,1.35019895917929,1.43320048732673,1.40941833771816,1.48268838770015,1.44883886376143,1.31987450987024,1.42825290644936,1.45477156961107,1.38769509746712,1.46468443164589,1.47337853060602,1.34936488566738,1.43312470576991,1.50260176691083,1.47745665297095,1.50751618649275,1.34800166328147,0.968538610513214,0,1.09711786972141,0.973786587493828,0.870764651764514,1.21741918732066,1.25292442670757,1.41151321265306,1.26762563587818,1.24674965118396,1.24982476127863,1.19492798209192,1.32427642434603,1.1749237998694,1.45339376800003,1.36194854856288,1.47151859101675,1.17433025481259,1.24548228688812,1.2639388632925
"Маринина 1995 Смерть ради смерти",1.15088291203301,1.25263296461613,1.10270624807512,1.1894310142078,1.27363169733338,1.28022737412635,1.35584367849136,1.26084745231577,1.19739559500589,1.29862892424359,1.30446348037485,1.09749276603798,1.19303295246097,1.15609217940839,1.14588656262221,1.16312073158318,1.26890487386643,1.22133586861762,1.23832567428501,1.07132565197977,0.79958074046306,1.09711786972141,0,0.816551718771049,0.79975943829215,0.964418481370311,1.08484257922593,1.25906312059794,1.0449256067805,1.03416724959857,1.20238341929793,1.02703695376949,1.1734207322051,1.23303153822941,1.2110715336582,0.988264011309593,1.2265968606403,1.12315594721363,1.17563389615033,0.9216523271818
"Маринина 2000 Седьмая жертва",1.07527643015635,1.21200876881131,1.09084596682629,1.16143762491887,1.22986008315338,1.26196902939394,1.29751523649003,1.1807871193135,1.22369411543338,1.24167431696251,1.33308916380907,1.09662535913213,1.25976269962821,1.20008107454898,1.21506209144609,1.23767460193015,1.25928682383375,1.23262172906572,1.27221878625009,1.01969859100504,0.738949871995988,0.973786587493828,0.816551718771049,0,0.764627714228352,1.041818891018,0.981559092120112,1.20436172011828,1.02743706600776,0.97870045024162,1.13053340634615,0.995644025099182,1.11520485943606,1.0584632818023,1.20328873885174,1.1280425799086,1.08423303645065,0.983407035389015,0.928321091766016,1.03070737263108
"Маринина 2021 Отдалённые последствия. Том 1",1.08041321334463,1.10484348260328,1.06254717290502,1.15432500502908,1.15571174551089,1.2062371640397,1.12427557864269,1.11921462118561,1.14958701776529,1.13439945296051,1.24224789295332,1.1039002815512,1.18032937966614,1.15949940883368,1.22824623588194,1.184222288684,1.20799959932773,1.19053608858412,1.25972347605338,1.13909173989173,0.720992826352089,0.870764651764514,0.79975943829215,0.764627714228352,0,1.10016043235024,1.05126268999195,1.09481122512603,0.998318964214816,0.96695789515481,1.01509075368554,1.08488383745373,1.19901181404297,1.0287591077709,1.22683400221041,1.0084369232933,1.11660163782436,0.969467432975289,0.973037101302459,0.839197627283505
"Полякова 2008 Испанская легенда",1.2503194778875,1.18539672908314,1.29974711104191,1.28928400848722,1.33090995381679,1.34313604515932,1.3447041356942,1.31121268070747,1.21928517789957,1.25605730159438,1.35393253092925,1.15547160570626,1.28587536409629,1.32868987979224,1.21900474397783,1.42489104007405,1.41763953278013,1.43320682635257,1.42320167458979,1.25297563218722,1.09079880359877,1.21741918732066,0.964418481370311,1.041818891018,1.10016043235024,0,0.978801466292047,1.11353246636092,0.84401885645085,0.825836659085477,1.49150254833775,1.20706664906372,1.21326182502201,1.44725118087035,1.3179506063155,1.20168284062191,1.34029361142174,1.26876591612456,1.3056026228964,1.16082391069109
"Полякова 1999 Капкан на спонсора",1.15712200511749,1.13116371100479,1.02068622670788,1.16151007323617,1.14808298902198,1.1393505985194,1.19434200926948,1.17963496567177,1.04789811242496,1.19683435708822,1.05059906970806,1.15900340281781,1.13513923695359,1.19606435283267,1.14182948297604,1.19725216489965,1.31812131294612,1.19968557956485,1.2634479397117,1.09178101876032,1.08917210419622,1.25292442670757,1.08484257922593,0.981559092120112,1.05126268999195,0.978801466292047,0,0.867467388458795,0.902537453114546,0.817333462592004,1.44089546726887,1.25815096092769,1.54324923157129,1.42367469076834,1.41554195587904,1.34291970970218,1.20793383547406,1.30364132954163,1.23235378108214,1.29990056227348
"Полякова 2001 Неопознанный ходячий объект",1.27667907824626,1.07582285145184,1.12041575402301,1.13416271988773,1.09646785045202,1.20104536079589,1.12579787459269,1.1203214841724,1.09666955957448,1.13839276288553,1.15990114393166,1.08137244592409,1.12895609317048,1.19268233793813,1.31491777300278,1.20283386240311,1.24857952256795,1.23172872437224,1.2883435654462,1.15620592205432,1.20428939738247,1.41151321265306,1.25906312059794,1.20436172011828,1.09481122512603,1.11353246636092,0.867467388458795,0,0.979051553035019,0.847412781891025,1.32328661169025,1.23977556194601,1.61005641095608,1.51886003432159,1.39588659680981,1.37339999235624,1.10955811687184,1.37681456128686,1.28219255756116,1.22050752656497
"Полякова 2020 Четыре всадника раздора",1.11153999564749,1.2196189978447,1.14536686582714,1.160626871147,1.23814012164779,1.18558332817341,1.26422545870958,1.22470264295792,1.20070694390359,1.2280506412087,1.23925111382937,1.09685763622337,1.20330043045214,1.22201943422329,1.18248355756582,1.23877283730018,1.19852174275442,1.24041605237734,1.21589891777302,1.05093101674703,1.11459198240854,1.26762563587818,1.0449256067805,1.02743706600776,0.998318964214816,0.84401885645085,0.902537453114546,0.979051553035019,0,0.689337406523424,1.34465735869675,1.21723657400656,1.50223233135393,1.43755968469253,1.30349165745101,1.2550390846609,1.18339276020113,1.33433772101633,1.20141652130138,1.20665804119975
"Полякова 2012 Я смотрю на тебя издали",1.17444730590599,1.17668495581941,1.0850017144296,1.02303808238445,1.11670557327445,1.18487887436385,1.22589558057658,1.1685664266043,1.02507922881619,1.06286148821688,1.13679820511316,1.13840083540607,1.0554809890431,1.10736732385603,1.17060327501736,1.20356718165547,1.19624930718441,1.19221373993658,1.20674305001418,1.06498503670733,1.08391296362387,1.24674965118396,1.03416724959857,0.97870045024162,0.96695789515481,0.825836659085477,0.817333462592004,0.847412781891025,0.689337406523424,0,1.33393412538743,1.25212675901543,1.44829810708846,1.3812724890962,1.3551970095267,1.30835262293786,1.14127883450136,1.26437366404149,1.21604689650706,1.1213653509615
"Трауб 2012 Замочная скважина",1.12686948328899,1.17987875016619,1.2402691265349,1.19417231767402,1.28594181805238,1.31386381537413,1.27318638249256,1.18341062208275,1.25999394705112,1.26258718284277,1.38468628074683,1.26123102910147,1.18610104059629,1.20990643990194,1.37374782615739,1.27108419393931,1.23385929069589,1.32362196799006,1.31655861551503,1.26983041161486,1.02215306234943,1.24982476127863,1.20238341929793,1.13053340634615,1.01509075368554,1.49150254833775,1.44089546726887,1.32328661169025,1.34465735869675,1.33393412538743,0,0.82305639289101,1.2273698442058,1.17653055262788,0.994989450325627,1.16329319248706,1.19846685197483,1.05963336643396,1.03802452314266,0.980159206076724
"Трауб 2010 Плохая мать",1.17249409935705,1.15548822036611,1.26158853808229,1.18813278857373,1.25815661213078,1.2486223957262,1.21302765535873,1.19215283738243,1.19252521970301,1.25039466909884,1.30293274419729,1.06960495956793,1.20359742842508,1.10971662545834,1.20293722603517,1.13387898299385,1.13370150772209,1.28673693035552,1.28402279247682,1.11051433697791,1.00412756126631,1.19492798209192,1.02703695376949,0.995644025099182,1.08488383745373,1.20706664906372,1.25815096092769,1.23977556194601,1.21723657400656,1.25212675901543,0.82305639289101,0,1.07917995825092,1.22287592946483,0.860360768833086,1.12493725724929,1.09597579933438,1.06597753027285,1.07862255569066,1.05342911641259
"Трауб 2021 Посмотри на меня",1.34586407536888,1.42126320784882,1.43300162906968,1.49109249877995,1.57156641045218,1.59793418941277,1.40626568163667,1.39771092688294,1.42579391793394,1.44999420356164,1.60533959073711,1.43052880304407,1.47397424956506,1.38916824942061,1.45250825771404,1.60307668738168,1.40282369065424,1.56504110732146,1.59267550282282,1.45502044243177,1.09139604069545,1.32427642434603,1.1734207322051,1.11520485943606,1.19901181404297,1.21326182502201,1.54324923157129,1.61005641095608,1.50223233135393,1.44829810708846,1.2273698442058,1.07917995825092,0,1.11432545079905,1.28996441579213,1.20260157119038,1.43990377967079,1.17764577468369,1.32650418310178,1.17714031429103
