"","Донцова 2002 Букет прекрасных дам","Донцова 1999 Дама с коготками","Донцова 2008 Инь, янь и всякая дрянь","Донцова 2012 Клеопатра с парашютом","Донцова 2001 Созвездие жадных псов","Донцова 2003 Микстура от косоглазия","Донцова 2000 Бассейн с крокодилами","Донцова 2000 Спят усталые игрушки","Донцова 2005 Муха в самолёте","Донцова 2006 Безумная кепка Мономаха","Донцова 2007 Зимнее лето весны","Донцова 2017 Астральное тело холостяка","Донцова 2009 Император деревни Гадюкино","Донцова 2010 Страстная ночь в зоопарке","Донцова 2022 Бегемот под майонезом","Донцова 2015 Шуры муры с призраком","Донцова 2011 Тормоза для блудного мужа","Донцова 2019 Бинокль для всевидящего ока","Донцова 2014 Самовар с шампанским","Донцова 2019 Гиблое место в ипотеку","Маринина 2013 Оборванные нити. Том 3","Маринина 2007 Всё не так","Маринина 1995 Смерть ради смерти","Маринина 2000 Седьмая жертва","Маринина 2021 Отдалённые последствия. Том 1","Полякова 2008 Испанская легенда","Полякова 1999 Капкан на спонсора","Полякова 2001 Неопознанный ходячий объект","Полякова 2020 Четыре всадника раздора","Полякова 2012 Я смотрю на тебя издали","Трауб 2012 Замочная скважина","Трауб 2010 Плохая мать","Трауб 2021 Посмотри на меня","Трауб 2016 Продаётся дом с дедушкой","Трауб 2006 Собирайся, мы уезжаем","Устинова 2003 Близкие люди","Устинова 2021 Девчонки, я приехал","Устинова 2008 Жизнь, по слухам, одна!","Устинова 2012 Один день, одна ночь","Устинова 1999 Персональный ангел"
"Маринина 2013 Оборванные нити. Том 3",1.22699704861387,1.36048155396488,1.1822255343588,1.23528219201607,1.22213909896141,1.30089516633939,1.26554856561437,1.22937290132317,1.20562178707904,1.16913181318102,1.21549708616614,1.1586888362638,1.18519293404071,1.23489832216404,1.15124971582532,1.20697456674534,1.34527521319581,1.2093451387121,1.23255805711189,1.23753420219891,0,0.91125222795049,0.672110836187318,0.649849255666949,0.620459466373432,1.19994530437767,1.08269071503112,1.23129044974156,1.1010304773396,1.06592029218052,1.09496130078,1.18611035434768,1.14456849985951,1.12328868143858,1.35419871328505,1.00073474849237,1.20520167048626,1.10357327518457,1.08710052043741,1.03143786469751
"Маринина 2007 Всё не так",1.35820529183399,1.58334490782397,1.39257246660694,1.31255217665679,1.41631399789371,1.33414180247987,1.51166380507395,1.51425383929163,1.35205509842467,1.38515860830781,1.4221080781451,1.47749774182718,1.50272323375113,1.4822553495342,1.42489709985436,1.52209517771445,1.53333032969402,1.47642515426909,1.47851916638944,1.4157862342626,0.91125222795049,0,1.04785518479948,0.814329883073938,0.879641863595076,1.21049718306525,1.20957823933177,1.42374003221714,1.23776543645552,1.2580286928134,1.22411995880522,1.15514812323484,1.21275006903943,1.31373070707634,1.50251966389215,1.23528696751967,1.60840323195623,1.15507806111938,1.20190159426532,1.2130337992843
"Маринина 1995 Смерть ради смерти",1.13860475783993,1.3453628633678,1.09805227837616,1.1705181008001,1.26025524301857,1.19778238342583,1.35430732025181,1.31307257181695,1.16851949876312,1.25172162233316,1.2244305694242,1.08479908853808,1.19519267090679,1.20202624687084,1.16468534802787,1.09664622088339,1.27164915081081,1.11352105377077,1.12218720551328,1.11816723069714,0.672110836187318,1.04785518479948,0,0.601703276810659,0.770251717545705,1.16282322466396,1.12823620224345,1.28482362047325,1.00987434223257,1.01750902178354,1.08847617883929,1.12338274502745,1.15469750104279,1.19761742315512,1.27587185230174,0.943437177067528,1.2169742005382,1.13429225895402,1.07826183746441,0.89327493846508
"Маринина 2000 Седьмая жертва",1.12252874855935,1.2444659268652,1.06133368888056,1.08086625147958,1.16493854720364,1.18265180351479,1.20245806705155,1.15150434458878,1.09831577276155,1.11239588083577,1.15839391951192,1.11276919564955,1.1439881386016,1.14470157871194,1.18724729171544,1.17756977359709,1.25988503050942,1.14810013868953,1.18530026697797,1.09564323615752,0.649849255666949,0.814329883073938,0.601703276810659,0,0.615916242609409,1.01277167770835,0.945477870029573,1.16312539028479,0.940624189211735,0.885538695940955,1.06073509522191,1.00959835772513,1.06432975008579,1.09158575051335,1.23583175477756,0.968880852542673,1.15638055413502,1.01684354807072,1.0297815646841,0.931690035820771
"Маринина 2021 Отдалённые последствия. Том 1",1.17126943165921,1.24566796733995,1.06151163436359,1.17553450724481,1.12933609679934,1.22932134456858,1.18687833755779,1.137954268715,1.16783930685895,1.06083166835452,1.1583140900796,1.19136278056854,1.14527117397492,1.19682913535683,1.27795525804279,1.26739077375836,1.35474379253024,1.21618139318291,1.25232012356454,1.22621618532317,0.620459466373432,0.879641863595076,0.770251717545705,0.615916242609409,0,1.13923529349359,1.0495981342952,1.11013107995361,1.06278219417784,0.90497975758889,1.10358787984044,1.20067864231928,1.18014062738376,1.15434089331758,1.30887385947417,1.06639362172325,1.20778716155339,1.20890783579472,1.08200464937396,1.03530217317758
"Полякова 2008 Испанская легенда",1.30860053958669,1.32515412536824,1.26383817289682,1.29438108826462,1.28986928623517,1.3484235949458,1.38841798882419,1.42845270574879,1.22353062688924,1.22571717606557,1.27246372137886,1.18119115033914,1.27972157334911,1.30004744305136,1.28621465669096,1.37680192784396,1.4671382604498,1.39937908438848,1.34620545836206,1.29439491593322,1.19994530437767,1.21049718306525,1.16282322466396,1.01277167770835,1.13923529349359,0,0.856745490425092,1.13336091623284,0.888844793677323,0.826787803219922,1.52670628531599,1.26669565685678,1.33165553512104,1.47630461703719,1.34468010988371,1.20715601086864,1.38704716633512,1.33041040494787,1.41254246129878,1.21330318841501
"Полякова 1999 Капкан на спонсора",1.10475184765143,1.16051212801486,0.987095228911099,1.0810243986782,1.06231521690503,1.05661231125677,1.1676480628368,1.12939990564246,0.987421264990182,1.04378444318124,1.05560958147625,1.06475027831319,1.08252949055954,1.12781533566677,1.16711490560162,1.22238914335909,1.2757949631575,1.16486725541023,1.16642119690311,1.14815304470063,1.08269071503112,1.20957823933177,1.12823620224345,0.945477870029573,1.0495981342952,0.856745490425092,0,0.655457412212879,0.85039908325704,0.699359241458658,1.48181354854854,1.28647293572019,1.51213954754337,1.3671515933202,1.4078511943502,1.34414933877869,1.19791491563512,1.38460874943305,1.29222091758724,1.32286406357302
"Полякова 2001 Неопознанный ходячий объект",1.26820922967935,1.19039750527275,1.1072929285975,1.22407071471072,1.09359217680283,1.19265431669072,1.167653462795,1.20103358259394,1.19572298230863,1.12982365428203,1.22216099835259,1.21240931575565,1.16419743187302,1.25998111958023,1.38610659476584,1.24081657568917,1.37371762912246,1.18655739405559,1.25620228173549,1.24627047187104,1.23129044974156,1.42374003221714,1.28482362047325,1.16312539028479,1.11013107995361,1.13336091623284,0.655457412212879,0,1.00044376658965,0.766529825557355,1.46346330779283,1.46933272928059,1.62091418392879,1.5032551394499,1.55472374770234,1.40121326039183,1.20185851282393,1.52535134817116,1.35752696238514,1.41873654887241
"Полякова 2020 Четыре всадника раздора",1.18183989934256,1.41680493216837,1.09900311942027,1.1933379236711,1.25769905074543,1.13480414853505,1.36375084812585,1.34573906226433,1.21373846703569,1.21178599176493,1.19841156060466,1.06137135567996,1.27536441664532,1.24054019564723,1.20115899853244,1.1840781549843,1.18463798152853,1.15005557004093,1.15618521339424,1.03188611719236,1.1010304773396,1.23776543645552,1.00987434223257,0.940624189211735,1.06278219417784,0.888844793677323,0.85039908325704,1.00044376658965,0,0.756216764358366,1.39777576502325,1.29431576902259,1.50861480289403,1.51677769041203,1.38088831199265,1.24274850878825,1.30506685959656,1.36081776120867,1.22377031193593,1.25923189067769
"Полякова 2012 Я смотрю на тебя издали",1.12517648842775,1.17109298734714,1.01370709869431,0.996998219038826,1.06456707887992,1.09426707912467,1.18474521499617,1.15194757781074,1.0644558176743,0.998570758903259,1.08458960518435,1.05642611626325,1.01303638227817,1.07309885395268,1.16699095972346,1.15580736480211,1.18239354477889,1.07297338670825,1.08366289743239,1.08962673227213,1.06592029218052,1.2580286928134,1.01750902178354,0.885538695940955,0.90497975758889,0.826787803219922,0.699359241458658,0.766529825557355,0.756216764358366,0,1.37008538926047,1.26467420848119,1.39955943427989,1.40447484712983,1.35964604862438,1.1884766518705,1.1420925449783,1.32740136439976,1.2033310359194,1.07692582271521
"Трауб 2012 Замочная скважина",1.29512073132891,1.35991259367369,1.34786303297882,1.27055805351258,1.33804270692415,1.32055922304842,1.33862754893897,1.3375902050584,1.28499568608472,1.32911131979138,1.39158314246261,1.36631250978208,1.30721933836623,1.27536215024447,1.48641185944991,1.36257789549311,1.2971802903078,1.37519503103114,1.32963903422514,1.32491710337221,1.09496130078,1.22411995880522,1.08847617883929,1.06073509522191,1.10358787984044,1.52670628531599,1.48181354854854,1.46346330779283,1.39777576502325,1.37008538926047,0,0.861068313690013,1.05572411762646,1.14266842638341,1.09548257844276,1.1005866469538,1.27594080514126,1.15597870745654,1.11112493818388,0.943758153509945
"Трауб 2010 Плохая мать",1.22014129628521,1.30848058683898,1.20655035949939,1.13586860150548,1.18760394335535,1.17550104729123,1.24823367048692,1.24428960324264,1.16294881742402,1.26124371773792,1.17927661109772,1.17134367576761,1.21485960553446,1.14820632861047,1.29178364219346,1.16130395333956,1.16732029907278,1.23873312705735,1.18904594557686,1.0971586087081,1.18611035434768,1.15514812323484,1.12338274502745,1.00959835772513,1.20067864231928,1.26669565685678,1.28647293572019,1.46933272928059,1.29431576902259,1.26467420848119,0.861068313690013,0,1.1053123880122,1.15765496162183,0.862452719710628,1.19394733585994,1.20265339686138,1.06064744449317,1.20710104561081,1.12784912955392
"Трауб 2021 Посмотри на меня",1.43840674872611,1.50073502444127,1.47206197434379,1.39439073012318,1.46796314744039,1.52227144119267,1.51251266988694,1.45563140711306,1.39239602084801,1.46456890782959,1.48889265951717,1.48385850797524,1.42255108286944,1.43569072845542,1.50633193111379,1.53127340590687,1.55076274019331,1.53864880238959,1.46778403019283,1.48124887256981,1.14456849985951,1.21275006903943,1.15469750104279,1.06432975008579,1.18014062738376,1.33165553512104,1.51213954754337,1.62091418392879,1.50861480289403,1.39955943427989,1.05572411762646,1.1053123880122,0,1.0506214493714,1.35793528098281,1.14219735277575,1.52270856615496,1.15220411213671,1.25639863493028,1.19710115772305
