id,series_code,серия,название,год,имя_файла,путь_исходник,путь_clean,слова_clean,токены_clean,строки_clean,символы_clean,токены_исходник,доля_токенов_сохранено,короткий_текст,для_сравнения,повреждена_очисткой
evlampia_049,ЕР,Евлампия Романова,Жираф – гроза пингвинов,2020,ЕР_Жираф – гроза пингвинов.txt,txt ЕвлампияРоманова/49 Жираф – гроза пингвинов.txt,evlampia/ЕР_Жираф – гроза пингвинов.txt,39351,36991,4810,248827,48459,0.763,,да,
viola_041,ВТ,Виола Тараканова,Закон молодильного яблочка,2017,ВТ_Закон молодильного яблочка.txt,txt ВиолаТараканова/41 Закон молодильного яблочка.txt,viola/ВТ_Закон молодильного яблочка.txt,39316,36991,4613,246593,66661,0.555,,да,
podushkin_038,ИП,Иван Подушкин,Кладбище чужих секретов,2025,ИП_Кладбище чужих секретов.txt,txt ИванПодушкин/38 Кладбище чужих секретов.txt,podushkin/ИП_Кладбище чужих секретов.txt,38903,36991,4645,244952,46417,0.797,,да,
evlampia_052,ЕР,Евлампия Романова,Мамаша Бармалей,2022,ЕР_Мамаша Бармалей.txt,txt ЕвлампияРоманова/52 Мамаша Бармалей.txt,evlampia/ЕР_Мамаша Бармалей.txt,39145,36991,4276,248536,48959,0.756,,да,
podushkin_012,ИП,Иван Подушкин,Пикник на острове сокровищ,2006,ИП_Пикник на острове сокровищ.txt,txt ИванПодушкин/12 Пикник на острове сокровищ.txt,podushkin/ИП_Пикник на острове сокровищ.txt,39796,36991,4322,248487,72830,0.508,,да,
dasha_015,ДВ,Даша Васильева,Привидение в кроссовках,2002,ДВ_Привидение в кроссовках.txt,txt ДашаВасильева/14 Привидение в кроссовках.txt,dasha/ДВ_Привидение в кроссовках.txt,38666,36991,4072,246056,72828,0.508,,да,
podushkin_016,ИП,Иван Подушкин,Продюсер козьей морды,2008,ИП_Продюсер козьей морды.txt,txt ИванПодушкин/16 Продюсер козьей морды.txt,podushkin/ИП_Продюсер козьей морды.txt,39861,36991,4664,249012,75038,0.493,,да,
evlampia_003,ЕР,Евлампия Романова,Сволочь ненаглядная,2000,ЕР_Сволочь ненаглядная.txt,txt ЕвлампияРоманова/03 Сволочь ненаглядная.txt,evlampia/ЕР_Сволочь ненаглядная.txt,39899,36991,4077,253957,76155,0.486,,да,
podushkin_017,ИП,Иван Подушкин,Смех и грех Ивана-царевича,2013,ИП_Смех и грех Ивана-царевича.txt,txt ИванПодушкин/17 Смех и грех Ивана-царевича.txt,podushkin/ИП_Смех и грех Ивана-царевича.txt,38814,36991,3740,249312,66732,0.554,,да,
podushkin_019,ИП,Иван Подушкин,Судьба найдет на сеновале,2014,ИП_Судьба найдет на сеновале.txt,txt ИванПодушкин/19 Судьба найдет на сеновале.txt,podushkin/ИП_Судьба найдет на сеновале.txt,38694,36991,3881,248132,67097,0.551,,да,
