id,автор,название,серия,series_code,год,series_slug,имя_файла,путь_исходник,путь
dasha_038,Дарья Донцова,Белый конь на принце,Даша Васильева,ДВ,2009,dasha,ДВ_Белый конь на принце.txt,txt ДашаВасильева/37 Белый конь на принце.txt,dasha/ДВ_Белый конь на принце.txt
dasha_017,Дарья Донцова,Бенефис мартовской кошки,Даша Васильева,ДВ,2002,dasha,ДВ_Бенефис мартовской кошки.txt,txt ДашаВасильева/16 Бенефис мартовской кошки.txt,dasha/ДВ_Бенефис мартовской кошки.txt
dasha_072,Дарья Донцова,Блоха на балу,Даша Васильева,ДВ,2024,dasha,ДВ_Блоха на балу.txt,txt ДашаВасильева/71 Блоха на балу.txt,dasha/ДВ_Блоха на балу.txt
dasha_064,Дарья Донцова,Вакантное место райской птички,Даша Васильева,ДВ,2021,dasha,ДВ_Вакантное место райской птички.txt,txt ДашаВасильева/63 Вакантное место райской птички.txt,dasha/ДВ_Вакантное место райской птички.txt
dasha_012,Дарья Донцова,Вынос дела,Даша Васильева,ДВ,2000,dasha,ДВ_Вынос дела.txt,txt ДашаВасильева/11 Вынос дела.txt,dasha/ДВ_Вынос дела.txt
dasha_021,Дарья Донцова,Гарпия с пропеллером,Даша Васильева,ДВ,2003,dasha,ДВ_Гарпия с пропеллером.txt,txt ДашаВасильева/20 Гарпия с пропеллером.txt,dasha/ДВ_Гарпия с пропеллером.txt
dasha_043,Дарья Донцова,Гений страшной красоты,Даша Васильева,ДВ,2011,dasha,ДВ_Гений страшной красоты.txt,txt ДашаВасильева/42 Гений страшной красоты.txt,dasha/ДВ_Гений страшной красоты.txt
dasha_058,Дарья Донцова,Годовой абонемент на тот свет,Даша Васильева,ДВ,2019,dasha,ДВ_Годовой абонемент на тот свет.txt,txt ДашаВасильева/57 Годовой абонемент на тот свет.txt,dasha/ДВ_Годовой абонемент на тот свет.txt
dasha_004,Дарья Донцова,Дама с коготками,Даша Васильева,ДВ,1999,dasha,ДВ_Дама с коготками.txt,txt ДашаВасильева/03 Дама с коготками.txt,dasha/ДВ_Дама с коготками.txt
dasha_005,Дарья Донцова,Дантисты тоже плачут,Даша Васильева,ДВ,1999,dasha,ДВ_Дантисты тоже плачут.txt,txt ДашаВасильева/04 Дантисты тоже плачут.txt,dasha/ДВ_Дантисты тоже плачут.txt
dasha_057,Дарья Донцова,Дневник пакостей Снежинки,Даша Васильева,ДВ,2018,dasha,ДВ_Дневник пакостей Снежинки.txt,txt ДашаВасильева/56 Дневник пакостей Снежинки.txt,dasha/ДВ_Дневник пакостей Снежинки.txt
dasha_022,Дарья Донцова,Доллары царя Гороха,Даша Васильева,ДВ,2004,dasha,ДВ_Доллары царя Гороха.txt,txt ДашаВасильева/21 Доллары царя Гороха.txt,dasha/ДВ_Доллары царя Гороха.txt
dasha_014,Дарья Донцова,Домик тетушки лжи,Даша Васильева,ДВ,2001,dasha,ДВ_Домик тетушки лжи.txt,txt ДашаВасильева/13 Домик тетушки лжи.txt,dasha/ДВ_Домик тетушки лжи.txt
dasha_028,Дарья Донцова,Досье на Крошку Че,Даша Васильева,ДВ,2006,dasha,ДВ_Досье на Крошку Че.txt,txt ДашаВасильева/27 Досье на Крошку Че.txt,dasha/ДВ_Досье на Крошку Че.txt
dasha_053,Дарья Донцова,Другая жизнь оборотня,Даша Васильева,ДВ,2016,dasha,ДВ_Другая жизнь оборотня.txt,txt ДашаВасильева/52 Другая жизнь оборотня.txt,dasha/ДВ_Другая жизнь оборотня.txt
