Source,Target,Weight,Type
ustinova__Девчонки,_я_приехал!,traub__Маша_Трауб_-_Собирайся,_мы_уезжаем_-_2006,1,undirected
ustinova__Девчонки,_я_приехал!,ustinova__Жизнь,_по_слухам,_одна!,2,undirected
ustinova__Девчонки,_я_приехал!,ustinova__Один_день,_одна_ночь,5,undirected
ustinova__Жизнь,_по_слухам,_одна!,marinina__03_Оборванные_нити,2,undirected
ustinova__Жизнь,_по_слухам,_одна!,traub__Маша_Трауб_-_Продаётся_дом_с_дедушкой_-_2016,2,undirected
ustinova__Жизнь,_по_слухам,_одна!,ustinova__Близкие_люди,4,undirected
ustinova__Жизнь,_по_слухам,_одна!,ustinova__Девчонки,_я_приехал!,2,undirected
ustinova__Жизнь,_по_слухам,_одна!,ustinova__Один_день,_одна_ночь,6,undirected
ustinova__Один_день,_одна_ночь,ustinova__Близкие_люди,2,undirected
ustinova__Один_день,_одна_ночь,ustinova__Девчонки,_я_приехал!,5,undirected
ustinova__Один_день,_одна_ночь,ustinova__Жизнь,_по_слухам,_одна!,6,undirected
ustinova__Персональный_ангел,marinina__05_Смерть_ради_смерти,1,undirected
ustinova__Персональный_ангел,marinina__35_Отдаленные_последствия._Том_1,3,undirected
ustinova__Персональный_ангел,traub__Маша_Трауб_-_Замочная_скважина_-_2012,2,undirected
ustinova__Персональный_ангел,ustinova__Близкие_люди,4,undirected
